Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,331,131,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,7004,DSST,A,,,,0,160,113
^,1,1,0.0,7,prac,yes,1,7,120000.0,225,152,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),54868.39999997616,box7,yes,O,1,1,4925.799999952316,49942.60000002384,7004,DSST,A,,,,1,160,113
U,2,1,0.0,5,prac,yes,1,5,120000.0,240,138,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),58758.60000002384,box5,yes,O,1,1,3106.2000000476837,55652.39999997616,7004,DSST,A,,,,2,160,113
O,3,1,0.0,6,prac,yes,1,6,120000.0,228,147,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),62247.5,box6,yes,O,1,1,2705.7000000476837,59541.799999952316,7004,DSST,A,,,,3,160,113
X,4,1,0.0,8,prac,yes,1,8,120000.0,256,143,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),66473.20000004768,box8,yes,O,1,1,3442.4000000953674,63030.799999952316,7004,DSST,A,,,,4,160,113
T,5,1,0.0,2,prac,yes,1,2,120000.0,200,134,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),71082.10000002384,box2,yes,O,1,1,3826.399999976158,67255.70000004768,7004,DSST,A,,,,5,160,113
),6,1,0.0,3,prac,yes,1,3,120000.0,281,139,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),77310.5,box3,yes,O,1,1,5449.299999952316,71861.20000004768,7004,DSST,A,,,,6,160,113
L,7,1,0.0,4,prac,yes,1,4,120000.0,203,143,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),81235.20000004768,box4,yes,O,1,1,3146.100000023842,78089.10000002384,7004,DSST,A,,,,7,160,113
+,8,1,0.0,9,prac,yes,1,9,120000.0,316,154,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),85376.60000002384,box9,yes,O,1,1,3361.399999976158,82015.20000004768,7004,DSST,A,,,,8,160,113
-,9,1,0.0,1,prac,yes,1,1,120000.0,336,156,Wed Sep 04 2024 15:31:32 GMT-0500 (Central Daylight Time),89116.89999997616,box1,yes,O,1,1,2962.399999976158,86154.5,7004,DSST,A,,,,9,160,113
