Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,308,147,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,7012,DSST,C,,,,0,160,113
L,1,1,0.0,4,prac,yes,1,4,120000.0,335,135,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),86676.19999998808,box4,yes,O,1,1,3334.5,83341.69999998808,7012,DSST,C,,,,1,160,113
O,2,1,0.0,6,prac,yes,1,6,120000.0,277,140,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),90973.89999997616,box6,yes,O,1,1,3476.399999976158,87497.5,7012,DSST,C,,,,2,160,113
T,3,1,0.0,2,prac,yes,1,2,120000.0,279,128,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),94489.0,box2,yes,O,1,1,2677.100000023842,91811.89999997616,7012,DSST,C,,,,3,160,113
U,4,1,0.0,5,prac,yes,1,5,120000.0,332,140,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),97988.19999998808,box5,yes,O,1,1,2677.0,95311.19999998808,7012,DSST,C,,,,4,160,113
),5,1,0.0,3,prac,yes,1,3,120000.0,273,141,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),101886.89999997616,box3,yes,O,1,1,3089.599999964237,98797.30000001192,7012,DSST,C,,,,5,160,113
+,6,1,0.0,9,prac,yes,1,9,120000.0,268,131,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),106085.80000001192,box9,yes,O,1,1,3389.400000035763,102696.39999997616,7012,DSST,C,,,,6,160,113
^,7,1,0.0,7,prac,yes,1,7,120000.0,279,146,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),110267.80000001192,box7,yes,O,1,1,3363.2000000476837,106904.59999996424,7012,DSST,C,,,,7,160,113
X,8,1,0.0,8,prac,yes,1,8,120000.0,280,155,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),114482.69999998808,box8,yes,O,1,1,3395.899999976158,111086.80000001192,7012,DSST,C,,,,8,160,113
-,9,1,0.0,1,prac,yes,1,1,120000.0,315,131,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),117948.30000001192,box1,yes,O,1,1,2653.900000035763,115294.39999997616,7012,DSST,C,,,,9,160,113
T,1,1,2.680000066757202,2,test,yes,1,2,117319.9999332428,289,137,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),142590.19999998808,box2,yes,O,1,1,2626.600000023842,139963.59999996424,7012,DSST,C,134921.0,135929.0,133302.0,1,160,113
-,2,1,5.743000030517578,1,test,yes,1,1,114256.99996948242,318,142,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),145655.80000001192,box1,yes,O,1,1,3018.600000023842,142637.19999998808,7012,DSST,C,138210.0,138995.0,135976.0,2,160,113
),3,1,9.436000108718872,3,test,yes,1,3,110563.99989128113,316,153,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),149354.59999996424,box3,yes,O,1,1,3655.699999988079,145698.89999997616,7012,DSST,C,141955.0,142693.0,139038.0,3,160,113
^,4,1,13.243000030517578,7,test,yes,1,7,106756.99996948242,237,133,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),153153.30000001192,box7,yes,O,1,1,3756.100000023842,149397.19999998808,7012,DSST,C,145784.0,146492.0,142736.0,4,160,113
T,5,1,15.844000101089478,2,test,yes,1,2,104155.99989891052,268,136,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),155768.5,box2,yes,O,1,1,2571.800000011921,153196.69999998808,7012,DSST,C,148500.0,149107.0,146536.0,5,160,113
L,6,1,18.388000011444092,4,test,yes,1,4,101611.99998855591,251,140,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),158301.59999996424,box4,yes,O,1,1,2505.099999964237,155796.5,7012,DSST,C,150922.0,151640.0,149135.0,6,160,113
X,7,1,21.314000129699707,8,test,yes,1,8,98685.9998703003,282,141,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),161234.0,box8,yes,O,1,1,2879.699999988079,158354.30000001192,7012,DSST,C,153618.0,154573.0,151693.0,7,160,113
T,8,1,23.968000173568726,2,test,yes,1,2,96031.99982643127,291,137,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),163883.30000001192,box2,yes,O,1,1,2613.100000023842,161270.19999998808,7012,DSST,C,156436.0,157222.0,154609.0,8,160,113
-,9,1,26.1010000705719,1,test,yes,1,1,93898.9999294281,292,133,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),166015.69999998808,box1,yes,O,1,1,2086.300000011921,163929.39999997616,7012,DSST,C,158716.0,159354.0,157268.0,9,160,113
),10,1,28.26900005340576,3,test,yes,1,3,91730.99994659424,274,129,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),168181.59999996424,box3,yes,O,1,1,2122.199999988079,166059.39999997616,7012,DSST,C,160881.0,161520.0,159398.0,10,160,113
T,11,1,31.0310001373291,2,test,yes,1,2,88968.9998626709,289,145,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),170947.39999997616,box2,yes,O,1,1,2719.300000011921,168228.09999996424,7012,DSST,C,163594.0,164286.0,161567.0,11,160,113
-,12,1,33.39900016784668,1,test,yes,1,1,86600.99983215332,255,150,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),173313.30000001192,box1,yes,O,1,1,2328.400000035763,170984.89999997616,7012,DSST,C,165949.0,166652.0,164324.0,12,160,113
L,13,1,36.1010000705719,4,test,yes,1,4,83898.9999294281,300,147,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),176012.39999997616,box4,yes,O,1,1,2653.300000011921,173359.09999996424,7012,DSST,C,168478.0,169351.0,166698.0,13,160,113
T,14,1,39.086000204086304,2,test,yes,1,2,80913.9997959137,252,136,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),178994.80000001192,box2,yes,O,1,1,2930.800000011921,176064.0,7012,DSST,C,171493.0,172334.0,169403.0,14,160,113
),15,1,41.83300018310547,3,test,yes,1,3,78166.99981689453,284,138,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),181743.80000001192,box3,yes,O,1,1,2700.600000023842,179043.19999998808,7012,DSST,C,174394.0,175083.0,172382.0,15,160,113
U,16,1,44.644999980926514,5,test,yes,1,5,75355.00001907349,321,144,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),184559.59999996424,box5,yes,O,1,1,2765.2999999523163,181794.30000001192,7012,DSST,C,177323.0,177898.0,175133.0,16,160,113
T,17,1,46.754000186920166,2,test,yes,1,2,73245.99981307983,312,151,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),186675.09999996424,box2,yes,O,1,1,2069.899999976158,184605.19999998808,7012,DSST,C,179357.0,180014.0,177944.0,17,160,113
),18,1,48.962000131607056,3,test,yes,1,3,71037.99986839294,265,155,Thu Aug 29 2024 17:42:03 GMT-0500 (Central Daylight Time),188874.80000001192,box3,yes,O,1,1,2166.300000011921,186708.5,7012,DSST,C,181486.0,182214.0,180047.0,18,160,113
