Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,309,140,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,7018,DSST,B,,,,0,160,113
T,1,1,0.0,2,prac,yes,1,2,120000.0,248,127,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),74313.80000007153,box2,yes,O,1,1,4383.399999976158,69930.40000009537,7018,DSST,B,,,,1,160,113
),2,1,0.0,3,prac,yes,1,3,120000.0,249,128,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),78129.20000004768,box3,yes,O,1,1,3039.899999976158,75089.30000007153,7018,DSST,B,,,,2,160,113
^,3,1,0.0,7,prac,yes,1,7,120000.0,290,143,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),82360.90000009537,box7,yes,O,1,1,3458.100000023842,78902.80000007153,7018,DSST,B,,,,3,160,113
-,4,1,0.0,1,prac,yes,1,1,120000.0,314,140,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),85960.10000002384,box1,yes,O,1,1,2825.7999999523163,83134.30000007153,7018,DSST,B,,,,4,160,113
O,5,1,0.0,6,prac,yes,1,6,120000.0,266,145,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),90575.0,box6,yes,O,1,1,3841.0999999046326,86733.90000009537,7018,DSST,B,,,,5,160,113
X,6,1,0.0,8,prac,yes,1,8,120000.0,281,124,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),94190.90000009537,box8,yes,O,1,1,2730.8000000715256,91460.10000002384,7018,DSST,B,,,,6,160,113
U,7,1,0.0,5,prac,yes,1,5,120000.0,254,143,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),97839.5,box5,yes,O,1,1,2875.5,94964.0,7018,DSST,B,,,,7,160,113
L,8,1,0.0,4,prac,yes,1,4,120000.0,285,146,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),102571.60000002384,box4,yes,O,1,1,3959.5,98612.10000002384,7018,DSST,B,,,,8,160,113
+,9,1,0.0,9,prac,yes,1,9,120000.0,294,136,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),106853.40000009537,box9,yes,O,1,1,3509.0,103344.40000009537,7018,DSST,B,,,,9,160,113
T,1,1,2.687999963760376,2,test,yes,1,2,117312.00003623962,287,129,Fri Sep 06 2024 11:07:32 GMT-0500 (Central Daylight Time),122498.40000009537,box2,yes,O,1,1,2677.100000023842,119821.30000007153,7018,DSST,B,114158.0,114935.0,112258.0,1,160,113
